github_username,pull_requests,commits
sneridagh,150,624
tiberiuichim,59,65
giuliaghisini,42,46
nzambello,33,43
avoinea,30,28
iFlameing,21,29
tisto,17,24
ksuess,17,19
iRohitSingh,13,8
nileshgulia1,12,16
ericof,11,20
ionlizarazu,5,5
kreafox,5,4
ThomasKindermann,5,4
pnicolli,4,4
cekk,4,4
mamico,4,2
rpatterson,4,10
erral,3,2
ichim-david,3,4
jackahl,2,3
fredvd,2,5
razvanMiu,2,2
stevepiercy,1,1
reebalazs,1,1
terapyon,1,1
instification,1,1
danielamormocea,1,1
1bsilver,1,3
pigeonflight,1,1
bipoza,1,0
damiDev8,1,1
thet,1,1
alecghica,1,1
AlexBueckig,1,1
jimbiscuit,1,1
MarcoCouto,1,1
macagua,0,3
csenger,0,1
