github_username,pull_requests,commits
sneridagh,135,407
tiberiuichim,65,112
iFlameing,59,60
tisto,48,284
giuliaghisini,40,38
nzambello,24,23
jackahl,18,31
avoinea,17,16
nileshgulia1,14,9
ksuess,11,21
terapyon,11,11
steffenri,11,12
robgietema,9,21
pnicolli,3,4
cekk,3,3
datakurre,3,3
csenger,3,2
zotya,3,3
razvanMiu,2,2
silviubogan,2,2
bloodbare,1,1
erral,1,1
ichim-david,1,1
fredvd,1,1
pbauer,1,1
damiDev8,1,0
mikejmets,1,1
alecghica,1,1
sumukhah,1,1
achimwilde,1,1
bsuttor,1,1
aryamanpuri,1,1
LeuAlmeida,0,4
esteele,0,1
rodfersou,0,1
AlexBueckig,0,1
robdayz,0,1
